lang,tag,text
en,Rates,All counts increased by ₹10 today
te,రేట్స్,అన్ని కౌంట్లు ఈ రోజు ₹10 పెరిగాయి
en,Rates,50c price increased by ₹5 in Ongole market
te,రేట్స్,50 కౌంట్ ధర ఒంగోలు మార్కెట్‌లో ఈ రోజు ₹5 పెరిగింది
en,Seed,New PL batch available from 5th Sept
te,సీడ్స్,సెప్టెంబర్ 5 నుండి కొత్త PL బ్యాచ్ అందుబాటులో ఉంది
en,Seed,Bonus increased to 35% for Vannamei orders
te,సీడ్స్,వన్నామీ ఆర్డర్లపై బోనస్ 35%కి పెరిగింది
en,Harvest,Heavy rains predicted — delay harvests
te,హార్వెస్ట్,భారీ వర్షాలు రాబోతున్నాయి — హార్వెస్ట్ వాయిదా ఉంచండి
en,Market,Feed prices to increase from Sept 10
te,మార్కెట్,ఫీడ్ ధరలు సెప్టెంబర్ 10 నుంచి పెరుగుతాయని ఊహిస్తున్నారు
en,Market,Transport disruptions in Prakasam district — expect delivery delays
te,మార్కెట్,ప్రకాశం జిల్లాలో రవాణా ఇదివరల కారణంగా డెలివరీల్లో ఆలస్యం సంభావ్యమే
